,,,,,,
Директор Департаменту організаційного та ресурсного забезпечення Міністерства юстиції України,Director of Department of organizational and resource provision of the Ministry of Justice of Ukraine,,,,Director of the Department of Orgznization and Resource Support of the Ministry of Justice of Ukraine,
Директор Департаменту організації архівної роботи Державної архівної служби України,Director of the Department of the archival work of the State archival Service of Ukraine,,,,Director of the Department of Organization of Archival work of the State Archival Service of Ukraine,
Директор Департаменту паспортної роботи та громадянства Державної міграційної служби України,"The Director of the Department of passport work, citizenship and the State migration Service of Ukraine",,,,Director of the Department of Passport Office and Citizenship of the State Migration Service of Ukraine,
"Директор Департаменту планово-фінансової діяльності, бухгалтерського обліку та звітності -головний бухгалтер Міністерства юстиції України","The Director of the Department of planning and financial activities, accounting and reporting Department-chief accountant of the Ministry of Justice of Ukraine",,,,"Director of the Department of Planning and Financial Activities, Accounting and Reporting - Chief ACcountant of the Ministry of Justice of Ukraine",
Директор Департаменту по роботі з інвалідами та ветеранами Державної служби з питань інвалідів та ветеранів,Director of Department on work with the disabled and veterans of the State Service for the disabled and veterans,,,,Director of the Department of Work with the Disabled of the State Service of Ukraine for the Disabled and Veterans ,
Директор Департаменту регулювання діяльності торговців цінними паперами та фондових бірж Національної комісії з цінних паперів та фондового ринку,The Director of the Department for regulation of securities dealers and stock exchanges National Commission on securities and stock market,,,,Director of the Department of Regulation of Traders and Stock Exchanges of the National Securities And Stock Market Commission,
Директор Департаменту регіонального розвитку Державного агентства з інвестицій та управління національними проектами України,Director of regional development Department of the State Agency for investment and national projects of Ukraine,,,,Director of the Department of Regional Development of Regional Center for Investment and Development of Ukraine,
"Директор Департаменту реєстрації та систематизації нормативних актів, правоосвітньої діяльності Міністерства юстиції України","The Director of the Department of registration and systematization of normative acts, the law activity of the Ministry of Justice of Ukraine",,,,"Director of the Department of Registration and Systematization of Legislation, Law Educational Activities of the Ministry of Justice of Ukraine",
Директор Департаменту розвитку інфраструктури Національного агентства з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу та реалізації інфраструктурних проектів,The Director of the Department of infrastructure development National Agency on preparation and holding in Ukraine of finals of European championship of 2012 on football and the implementation of infrastructure projects,,,,Director of the Department of Infrastructure Development of the National Agency on Preparation and Holding of Finals of the 2012 Football European Cup in Ukraine and the Implementation of Infrastructure Projects,
Директор Департаменту спорту вищих досягнень Державної служби молоді та спорту України,The Director of the Department of sports of the higher achievements of the State Service of youth and sports of Ukraine,,,,Director of the Department of Sport of the Highest Achievements of the State Service of Youth and Sports of Ukraine,
Директор Департаменту спільного інвестування та регулювання діяльності інституційних інвесторів Національної комісії з цінних паперів та фондового ринку,"The Director of the Department of joint investment and regulation of institutional investors, the National Commission on securities and stock market",,,,Director of the Department of Joint Investment and Regulation of Institutional Investors of the National Securities And Stock Market Commission,
Директор Департаменту статистики виробництва Державної служби статистики України,The Director of the Department for production statistics of the State statistics Service of Ukraine,,,,Director of the Department of Production Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики населення та регіональної статистики Державної служби статистики України,The Director of the Department of population statistics and regional statistics of the State statistics Service of Ukraine,,,,Director of the Department of Populaion Statistics and Regional Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики послуг Державної служби статистики України,The Director of the Department of Service statistics of the State statistics Service of Ukraine,,,,Director of the Department of Service Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики праці Державної служби статистики України,The Director of the Department of labor statistics of the State statistics Service of Ukraine,,,,Director of the Department of Labour Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики сільського господарства та навколишнього середовища Державної служби статистики України,The Director of the Department of statistics of agriculture and environment of the State statistics Service of Ukraine,,,,Director of the Department of Agriculture and Environment Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики торгівлі Державної служби статистики України,The Director of the Department of trade statistics of the State statistics Service of Ukraine,,,,Director of the Department of Trade Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистики цін Державної служби статистики України,Director of price statistics Department State statistics Service of Ukraine,,,,Director of the Department of Price Statistics of the State Statistics Service of Ukraine,
Директор Департаменту статистичної методології Державної служби статистики України,The Director of the Department of statistical methodology the State statistics Service of Ukraine,,,,Director of the Department of Statistical Methodology of the State Statistics Service of Ukraine,
Директор Департаменту структурної статистики та статистики фінансів підприємств Державної служби статистики України,The Director of the Department of structural statistics and the statistics of finances of enterprises of the State statistics Service of Ukraine,,,,Director of the Department of Structural Statistics of the State Statistics Service of Ukraine,
Директор Департаменту судової роботи Міністерства юстиції України,The Director of the legal Department of the Ministry of Justice of Ukraine,,,,Director of the Department of Judicial Work of the Ministry of Justice of Ukraine,
Директор Департаменту у справах біженців та іноземців Державної міграційної служби України,The Director of the Department for refugees and foreigners of the State migration Service of Ukraine,,,,Director of the Department of Refugees and Foreigners of the State Migration Service of Ukraine,
Директор Департаменту управління справами та регіонального розвитку Державної міграційної служби України,The Director of the Department of administration and regional development of the State migration Service of Ukraine,,,,Director of the Department of Administration and Regional Development of the State Migration Service of Ukraine,
Директор Департаменту фізичного виховання та масового спорту,The Director of the Department of physical education and sports,,,,Director of the Department of Physical Education and Mass Sport ,
Директор Департаменту фізичної культури та неолімпійських видів спорту Міністерства молоді та спорту України,The Director of the Department of physical culture and non-Olympic sports of the Ministry of youth and sports of Ukraine,,,,Director of the Department of Physical Education and Sport of the Ministry of Youth and Sports of Ukraine,
Директор Департаменту фінансових розслідувань Державної служби фінансового моніторингу України,The Director of the Department of financial investigations of the State Service for financial monitoring of Ukraine,,,,Director of the Department of Financial Investigations of the State Financial Monitoring Service of Ukraine,
Директор Департаменту фінансово-правового забезпечення та бухгалтерського обліку Національного агентства з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу та реалізації інфраструктурних проектів,Director of financial and legal support and accounting of the National Agency on preparation and holding in Ukraine of finals of European championship of 2012 on football and the implementation of infrastructure projects,,,,Director of the Department of Financial Support of the National Agency on Preparation and Holding of Finals of the 2012 Football European Cup in Ukraine and the Implementation of Infrastructure Projects,
"Директор Департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин Міністерства юстиції України","The Director of the Department of civil, financial legislation and legislation on land relations of the Ministry of Justice of Ukraine",,,,"Director of the Department of Civil, Financial Legislation and Legislation on Land Relations of the Ministry of Justice of Ukraine",
Директор Департаменту юридичного забезпечення Державної міграційної служби України,Director of Department of legal support of the State migration Service of Ukraine,,,,Director of the Department of Legal Support of Ministry of Justice of Ukraine,
Директор Департаменту іноземних інвестицій та міжнародного співробітництва Державного агентства з інвестицій та управління національними проектами України,The Director of the Department of foreign investment and international cooperation of the State Agency for investment and national projects of Ukraine,,,,Director of the Department of Foreign Investments and International Cooperation of Regional Center for Investment and Development of Ukraine,
Директор Департаменту інформаційних технологій Державної міграційної служби України,Director of information technologies Department of the State migration Service of Ukraine,,,,Director of the Department of Information Technologies of the State Migration Service of Ukraine,
Директор Департаменту інформаційних технологій Державної служби статистики України,Director of information technologies Department of the State statistics Service of Ukraine,,,,Director of the Department of Information Technologies of the State Statistics Service of Ukraine,
Директор Департаменту інформаційних технологій Державної служби фінансового моніторингу України,Director of information technologies Department of the State Service for financial monitoring of Ukraine,,,,Director of the Department of Information Technologies of the State Financial Monitoring Service of Ukraine,
Директор Національного інституту стратегічних досліджень,Director of the National Institute for strategic studies,,,,Director of the National Institute For Strategic Studies,
Директор адміністративно-господарського Департаменту Державної комісії з цінних паперів та фондового ринку,The Director of the Administrative Department of the State Commission on securities and stock market,,,,Director of the Administrative Department of the National Securities And Stock Market Commission,
Директор господарсько-ресурсного напрямку,Director of economic and resource trends,,,,Director of Economic Resource Area,
"Директор департаменту внутрішнього аудиту Міненерговугілля, голова ревізійної комісії","Director of internal audit Department of the Ministry, Chairman of the audit Committee",,,,"Director of Department of Internal audit of Ministry of Energy and Coal Mining, Chairman of the Audit Committee",
"Директор департаменту державної власності Мінінфраструктури, член наглядової ради, член наглядової ради","The Director of the Department of State property of the Ministry of Infrastructure, member of the Supervisory Board, member of the Supervisory Board",,,,"Director of Department of the State Property of Ministry of Energy and Coal Mining, Member of the Supervisory Board",
Директор департаменту забезпечення роботи Міністра Міністерства економічного розвитку і торгівлі - член  наглядової ради,The Director of the Department of the Minister of the Ministry of economic development and trade - member of the Supervisory Board,,,,"Director of Department of Ensuring of work of Minister of Ministry of Economic Development and Trade of Ukraine, Member of the Supervisory Board",
"Директор департаменту організаційного забезпечення діяльності Міністра та документальної роботи Міністерства Енергетики та вугільної промисловості, заступник голови наглядовох ради - член  наглядової ради","The Director of the Department of organizational support of activity Menstru and documentary work of the Ministry of Energy and coal industry of Ukraine, Deputy Chairman of naglyadova Council - member of the Supervisory Board",,,,"Director of Department of Organizational Support of Activity of Minister and of Documetionary work of Ministry of Energy and Coal Mining, Deputy Chairman of the Supervisory Board, Member of the Supervisory Board",
Директор департаменту фінансово-економічного забезпечення Державної служби статистики України,The Director of the Department of financial and economic support of the State statistics Service of Ukraine,,,,Director of Department of Financial and Economic Support of the State Statistics Service of Ukraine,
Директор департаменту фінансів виробничої сфери та майнових відносин міністерства фінансів - член  наглядової ради,Director of Finance Department of production and property relations of the Ministry of Finance - member of the Supervisory Board,,,,Director of Finance Department of Production and Property Relations of the Ministry of Finance - member of the Supervisory Board,
"Директор департаменту цивільного, фінансового законодавства та законодавства з питань земельних відносин Міністерства юстиції - член  наглядової ради","The Director of the Department of civil, financial legislation and legislation on land relations of the Ministry of Justice - member of the Supervisory Board",,,,"Director of the Department of Civil, Financial Legislation and Legislation on Land Relations of the Ministry of Justice - Member of the Supervisory Board",
Директор з адміністративних питань,The Director of administration,,,,Administrative Director,
"Директор з економічних питань, член правління","Director for economic Affairs, member of the Board",,,,"Director of Economic Affairs, Member of the Board",
Директор з питань радіочастотних присвоєнь,Director of radio frequency assignments,,,,Director of Radio Frequency Assignments,
Директор з радіочастотного моніторингу та питань РЕЗ,Director of RF monitoring and RES issues,,,,Director of Radio Frequency Monitoring and Radio Electronic Equipment,
Директор з фінансових питань,Director for financial Affairs,,,,Director of Financial Affairs,
Директор з інформаційно-телекомуніуаційного напрямку,Director information-telecommunicating direction,,,,Director of Information and Telecommunication,
"Директор філії ""Дирекція з будівництва Дністровської ГАЕС""","Director of affiliate ""Division of construction of Dniester pumped storage plant""",,,,"Director of Branch of ""Construction Division of the Dniester PSPP (Pumped Storage Power Station)""",
"Директор філії ""Дніпровська ГЕС""","Director of affiliate ""Dnieper HPP""",,,,"Director of branch ""Dniprovska  HPP"" (Hydro Power Plant)",
"Директор філії ""Дніпродзержинська ГЕС""","Director of affiliate ""Dniprodzerzhynsk HPP""",,,,"Director of branch ""Dniprodzerginska HPP"" (Hydro Power Plant)",
"Директор філії ""Дністровська ГЕС""","Director of affiliate ""Dniester HPP""",,,,"Director of branch ""Dnistrovska HPP"" (Hydro Power Plant)",
"Директор філії ""Канівська ГЕС""","Director of affiliate ""Kaniv HPP""",,,,"Director of branch ""Kanivska HPP"" (Hydro Power Plant)",
"Директор філії ""Каскад Київських ГЕС і ГАЕС""","Director of affiliate ""Cascade of Kyiv HPP and PSPP""",,,,"Director of branch ""Cascade of Kyiv HPP (Hydro Power Plant) and HPSPP (Pumped Storage Power Station)""",
"Директор філії ""Каховська ГЕС ім. П.С. Непорожнього""","Director of affiliate ""Kakhovka hydroelectric station. P. S. Neporozhnego""",,,,"Director of branch ""Kahovka HPP (Hydro Power Plant) after P.S.Neporozhniy""",
"Директор філії ""Кременчуцька ГЕС""","Director of affiliate ""Kremenchuk HPP""",,,,"Director of branch ""Kremenchuk HPP"" (Hydro Power Plant)",
Директор юридичного Департаменту Державної комісії з цінних паперів та фондового ринку,Director of the legal Department of the State Commission on securities and stock market,,,,Director of law Department of the National Securities And Stock Market State Commission,
Директор юридичного Департаменту Національної комісії з цінних паперів та фондового ринку,Director of the legal Department of the National Commission on securities and stock market,,,,Director of law Department of the National Securities And Stock Market Commission,
Директор юридичного департаменту Міністерства економічного розвитку і торгівлі - член  наглядової ради,Director of the legal Department of the Ministry of economic development and trade - member of the Supervisory Board,,,,"Director of law Department of Ministry of Economic Development and Trade of Ukraine, member of the Supervisory Board",
Директор юридичного департаменту Міністерства енергетики та вугільної промисловості - член  наглядової ради,Director of the legal Department of the Ministry of energy and coal industry of Ukraine - member of the Supervisory Board,,,,"Director of law Department of Ministry of Energy and Coal Mining, member of the Supervisory Board",
Директор-Головний конструктор,Director-Chief designer,,,,Director - Chief Constructor,
Завідувач Сектору,Head of The Sector,,,,Head of the sector,
Завідувач сектора (сектор - в стадії ліквідації),Head of sector (sector - in liquidation),,,,Head of the sector (sector is in liquidation stage),
Завідувач сектору,Head of the sector,,,,Head of the sector,
Засновник/учасник,Founder/participant,,,,Founder/Member,
Заступние генерального директора з адміністративно-правових питань,Zastopanje Director General for Administrative and legal Affairs,,,,Deputy CEO of Administrative and Legal Affairs,
Заступник Генерального прокурора України,The Deputy Prosecutor General of Ukraine,,,,Deputy Prosecutor General of Ukraine,
Заступник Голови Антимонопольного комітету України - державний уповноважений,Deputy Chairman of the Antimonopoly Committee of Ukraine - State Commissioner,,,,Deputy Head of Department of Antimonopoly Committee of Ukraine - State Commissioner,
Заступник Голови Апеляційного суду Закарпатської області,Deputy Chairman of the Court of Appeal of the Transcarpathian region,,,,Deputy Head of Appeal Court of Zakarpattia region,
Заступник Голови Апеляційного суду Київської області,Deputy Chairman of the Appeal Court of Kyiv region,,,,Deputy Head of Appeal Court of Kyiv region,
Заступник Голови Апеляційного суду Луганської області,Deputy Chairman of the Appeal Court of Lugansk region,,,,Deputy Head of Appeal Court of Lugansk region,
Заступник Голови Апеляційного суду Одеської області,Deputy Chairman of Appellate Court of Odessa region,,,,Deputy Head of Appeal Court of Odessa region,
Заступник Голови Апеляційного суду Рівненської області,Deputy President of the Court of Rivne region,,,,Deputy Head of Appeal Court of Rivne region,
Заступник Голови Апеляційного суду Чернігівської області,Deputy Chairman of the Court of Appeals of Chernihiv region,,,,Deputy Head of Appeal Court of Chernihiv region,
Заступник Голови Вищого господарського суду України,Deputy Chairman of the Supreme economic Court of Ukraine,,,,Deputy Head of Supreme Commercial Court of Ukraine,
Заступник Голови Державного агентства України з управління державними корпоративними правами та майном,Deputy Chairman of the State Agency of Ukraine for Division  of State corporate rights and property,,,,Deputy Head of Department of the State Agency of Ukraine on Governing the State Corporate Rights and Properties,
Заступник Голови Державного агентства водних ресурсів України,Deputy Chairman of the State Agency for water resources of Ukraine,,,,Deputy Head of the State Agency of Water Resources of Ukraine,
Заступник Голови Державного агентства з інвестицій та управління національними проектами України,Deputy Chairman of the State Agency for investment and national projects of Ukraine,,,,Deputy Head of Department of Foreign Investment and International Cooperation of Regional Center for Investment and Development of Ukraine,
Заступник Голови Державного агентства резерву України,Deputy Chairman of the State Agency of reserve of Ukraine,,,,Deputy Head of the State Agency of Reserves of Ukraine,
Заступник Голови Державного агентства рибного господарства України,Deputy Chairman of the State Agency of fisheries of Ukraine,,,,Deputy Head of the State Agency of Fisheries of Ukraine,
Заступник Голови Державного космічного агентства України,Deputy Chairman of the State space Agency of Ukraine,,,,Deputy Head of the the State Space Agency of Ukraine,
Заступник Голови Державної архівної служби України,Deputy Chairman of the State archival Service of Ukraine,,,,Deputy Head of State Archival Service of Ukraine,
Заступник Голови Державної архітектурно-будівельної інспекції України,Deputy Chairman of the State architectural and construction inspection of Ukraine,,,,Deputy Head of the State Architectural and Construction Inspection of Ukraine,
Заступник Голови Державної екологічної інспекції України - заступник Головного державного інспектора України з охорони навколишнього природного середовища,Deputy Chairman of the State ecological inspection of Ukraine - Deputy Chief State inspector of Ukraine on the protection of the natural environment,,,,"Deputy Head of the State Ecological Inspection , Deputy Head of the State Inspector of Ukraine on the Protection of Natural Environment",
Заступник Голови Державної митної служби України,Deputy Chairman of the State customs Service of Ukraine,,,,Deputy Head of the State Customs Service of Ukraine,
Заступник Голови Державної міграційної служби України,Deputy Chairman of the State migration Service of Ukraine,,,,Deputy Head of the State Migration Service of Ukraine,
Заступник Голови Державної реєстраційної служби України,Deputy Chairman of the State registration Service of Ukraine,,,,Deputy Head of the State Financial Inspection of Ukraine,
Заступник Голови Державної служби України з питань захисту персональних даних,Deputy Chairman of the State Service of Ukraine on personal data protection,,,,Deputy Head of the State Service of Ukraine on Personal Data Protection,
Заступник Голови Державної служби експортного контролю України,Deputy Chairman of the State Service of export control of Ukraine,,,,Deputy Head of the State Service of Export Control of Ukraine,
Заступник Голови Державної служби молоді та спорту України,Deputy Chairman of the State Service of youth and sports of Ukraine,,,,Deputy Head of State Service of Youth and Sports of Ukraine,
Заступник Голови Державної служби спеціального зв’язку та захисту інформації України,Deputy Chairman of the State Service for special communication and information protection of Ukraine,,,,Deputy Head of State Service of Special Communication and Information Protecion of Ukraine,
Заступник Голови Державної служби фінансового моніторингу України,Deputy Chairman of the State Service for financial monitoring of Ukraine,,,,Deputy Head of the State Financial Monitoring Service of Ukraine,
Заступник Голови Державної фінансової інспекції України,Deputy Chairman of the State financial inspection of Ukraine,,,,Deputy Head of State Financial Inspection of Ukraine,
Заступник Голови Державної інспекції навчальних закладів України,Deputy Chairman of the State Inspectorate of educational institutions of Ukraine,,,,Deputy Head of State Inspectorate of educational institutions of Ukraine,
Заступник Голови Київського апеляційного господарського суду,Deputy Chairman of the Kyiv commercial Court of Appeal,,,,Deputy Head of the Kyiv Appellate Economic Court,
Заступник Голови Національного агентства України з питань державної служби,Deputy Chairman of the National Agency of Ukraine on civil Service,,,,Deputy Head of National Agency of Ukraine on Civil Service,
Заступник Голови Національного агентства з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу та реалізації інфраструктурних проектів,Deputy Chairman of the National Agency on preparation and holding in Ukraine of finals of European championship of 2012 on football and the implementation of infrastructure projects,,,,Deputy Head of Department of financial support of Public Service on preparation and holding in Ukraine of finals of European Championship in 2012 and implementation,
Заступник Голови Ради Національного банку,Deputy Chairman of the Board of the National Bank,,,,Deputy Head of the Board of the National Bank of Ukraine,
Заступник Голови Служби безпеки України,Deputy Chairman of the security Service of Ukraine,,,,Deputy Head of Security Service of Ukraine,
Заступник Голови Центральної виборчої комісії,Deputy Chairman of the Central election Commission,,,,Deputy Head of Central Election Commission,
Заступник Міністр екології та природних ресурсів України - керівник апарату,Deputy Minister of ecology and natural resources of Ukraine - chief of staff,,,,Deputy Minister of Department of Ministry of Ecology and Natural Resources of Ukraine - Chief of Staff,
Заступник Міністра - керівник апарату,Deputy Minister - chief of staff,,,,Deputy Minister - Chief of Staff,
Заступник Міністра внутрішніх справ України керівник апарату,The Deputy Minister of internal Affairs of Ukraine-chief of staff,,,,Deputy Minister of Internal Affairs of Ukraine - Chief of Staff,
Заступник Міністра екології та природних ресурсів України,Deputy Minister of ecology and natural resources of Ukraine,,,,Deputy Minister of Ecology and Natural Resources of Ukraine,
Заступник Міністра екології та природних ресурсів України - керівник апарату,Deputy Minister of ecology and natural resources of Ukraine - chief of staff,,,,Deputy Minister of Ecology and Natural Resources of Ukraine - Chief of Staff,
Заступник Міністра екологіїта природних ресурсів - керівник апарату - член  наглядової ради,"Deputy Minister Ecologia natural resources, chief of staff - member of the Supervisory Board",,,,"Deputy Minister of Ecology and Natural Resources of Ukraine - Chief of Staff, member of the Supervisory Board",
Заступник Міністра енергетики та вугільної промисловості - керівник наглядової ради,Deputy Minister of energy and coal industry of Ukraine - head of the Supervisory Board,,,,"Deputy Minister of Energy and Coal Mining, member of the Supervisory Board",
Заступник Міністра молоді та спорту України,Deputy Minister of youth and sports of Ukraine,,,,Deputy Minister of Youth and Sports of Ukraine,
Заступник Міністра молоді та спорту України - керівник апарату,Deputy Minister of youth and sports of Ukraine - chief of staff,,,,Deputy Minister of Youth and Sports of Ukraine - Chief of Staff,
Заступник Міністра надзвичайних ситуацій України,Deputy Minister of emergency situations of Ukraine,,,,Deputy Minister of State Emergency Service of Ukraine,
Заступник Міністра освіти і науки України,Deputy Minister of education and science of Ukraine,,,,Deputy Minister of Education and Science of Ukraine,
"Заступник Міністра освіти і науки, молоді та спорту - керівник апарату","Deputy Minister of education and science, youth and sports, chief of staff",,,,"Deputy Minister of Education and Science of Ukraine, Chief of Staff",
Заступник Міністра охорони здоров’я України,Deputy Minister of health of Ukraine,,,,Deputy Minister of Healthcare of Ukraine,
Заступник Міністра охорони здоров’я України з питань європейської інтеграції,Deputy Minister of health of Ukraine on European integration,,,,Deputy Minister of Healthcare of Ukraine on European integration,
Заступник Міністра охорони здоров’я України керівник апарату,Deputy Minister of health of Ukraine-chief of staff,,,,"Deputy Minister of Healthcare of Ukraine, Chief of Staff",
Заступник Міністра промислової політики України,Deputy Minister of industrial policy of Ukraine,,,,Deputy Minister of Industrial Policy of Ukraine,
"Заступник Міністра регіонального розвитку, будівництва та житлово-комунального господарства - керівник апарату - член  наглядової ради","Deputy Minister of regional development, construction and housing and communal Services - chief of staff - member of the Supervisory Board",,,,"Deputy Minister of Regional Development, Construction, and Housing of Ukraine, Chief of Staff - member of the Supervisory Board",
"Заступник Міністра регіонального розвитку, будівництва та житлово-комунального господарства України - керівник апарату","Deputy Minister of regional development, construction and housing and communal Services of Ukraine - chief of staff",,,,"Deputy Minister of Regional Development, Construction, and Housing of Ukraine, Chief of Staff ",
Заступник Міністра соціальної політики України - керівник апарату,Deputy Minister of social policy of Ukraine - chief of staff,,,,"Deputy Minister of Social Policy of Ukraine, Chief of Staff",
Заступник Міністра фінансів України - керівник апарату,Deputy Minister of Finance of Ukraine - head of staff,,,,"Deputy Minister of Finance of Ukraine, Chief of Staff",
Заступник Міністра юстиції України - керівник : апарату,The Deputy Minister of Justice of Ukraine - chief of staff,,,,"Deputy Minister of Justice of Ukraine, Chief of Staff",
Заступник Міністра юстиції України - керівник апарату,The Deputy Minister of Justice of Ukraine - chief of staff,,,,"Deputy Minister of Justice of Ukraine, Chief of Staff",
Заступник Начальника Головного управління державної служби України,Deputy Head of the Main Department of civil Service of Ukraine,,,,Deputy Chairman of the National agency of Ukraine on Civil Service,
Заступник Секретаря Ради національної безпеки і оборони України,Deputy Secretary of national security Council and defense of Ukraine,,,,Deputy Secretary of the National Security and Defense Council of Ukraine,
Заступник генерального директора,Deputy General Director,,,,Deputy CEO,
Заступник генерального директора з безпеки,Deputy General Director for security,,,,Deputy CEO on Security,
Заступник генерального директора з безпеки режиму,Deputy General Director for security mode,,,,Deputy CEO on Security Regieme,
Заступник генерального директора з виробництва,Deputy General Director for production,,,,Deputy CEO on Production,
Заступник генерального директора з економіки та фінансів,Deputy General Director for Economics and Finance,,,,Deputy CEO on Economic and Finances,
Заступник генерального директора з економіки та інвестицій,Deputy General Director for economc and investment,,,,Deputy CEO on Economics and Investments,
Заступник генерального директора з загальних питань та матеріально-технічного забезпечення,Deputy General Director for General Affairs and logistics,,,,Deputy CEO on General Affairs and Logistics Support,
Заступник генерального директора з капбудівництва,Deputy General Director for capital construction,,,,Deputy CEO on Capital Construction,
Заступник генерального директора з науки - головний конструктор,"Deputy General Director for science, chief designer",,,,Deputy CEO on Science - Chief Constructor,
Заступник генерального директора з перспективного розвитку,Deputy General Director on perspective development,,,,Deputy CEO on Perspective Development,
Заступник генерального директора з фінансів,Deputy General Director for Finance,,,,Deputy CEO on Finance,
Заступник голови  Державної служби України з питань праці,Deputy Chairman of the State Service of Ukraine on labour,,,,Deputy Chairman of State Labour Service of Ukraine,
Заступник голови Апеляційного суду  Полтавської області,Deputy President of the Court of Poltava region,,,,Deputy Chairman of Court of Appeal of Poltava Oblast (Region),
Заступник голови Верховної Ради Автономної Республіки Крим,Deputy Chairman of the Verkhovna Rada of the Autonomous Republic of Crimea,,,,Deputy Chairman of Verkhovna Rada (Parliament) of Autonomous Republic of Crimea,
Заступник голови Вінницького апеляційного адміністративного суду,Deputy Chairman of the Vinnytsia Administrative Court of Appeal,,,,Deputy Chairman of Vinnitsia Court of Appeal,
Заступник голови Державного агентства України з питань кіно,Deputy Chairman of the State Agency of Ukraine for the movie,,,,Deputy Chairman of Ukrainian State Film Agency,
Заступник голови Державного агентства екологічних інвестицій України,Deputy Chairman of the State environmental investment Agency of Ukraine,,,,Deputy Chairman of the State Ecolgical Investment Agency of Ukraine,
Заступник голови Державного агентства земельних ресурсів України,Deputy Chairman of the State Agency of land resources of Ukraine,,,,Deputy Chairman of the State Agency for Land Resources of Ukraine,
Заступник голови Державного агентства лісових ресурсів України,Deputy Chairman of the State forest resources Agency of Ukraine,,,,Deputy Chairman of the State Forest Resources Agency of Ukraine,
Заступник голови Державного агентства резерву України,Deputy Chairman of the State Agency of reserve of Ukraine,,,,Deputy Chairman of the State Agency of Reserves of Ukraine,
Заступник голови Державної архівної служби України,Deputy Chairman of the State archival Service of Ukraine,,,,Deputy Chairman of the State Archival Service of Ukraine,
Заступник голови Державної ветеринарної та фітосанітарної служби України,Deputy Chairman of the State veterinary and phytosanitary Service of Ukraine,,,,Deputy Chairman of the State Veterinary and Phytosanitary Service of Ukraine,
Заступник голови Державної виконавчої служби України,Deputy Chairman of the State Executive Service of Ukraine,,,,Deputy Chairman of the State Executive Service of Ukraine,
Заступник голови Державної казначейської служби України,Deputy head of State Treasury Service of Ukraine,,,,Deputy Chairman of the State Treasury Service of Ukraine,
Заступник голови Державної міграційної служби України,Deputy Chairman of the State migration Service of Ukraine,,,,Deputy Chairman of the State Migration Service of Ukraine,
Заступник голови Державної прикордонної служби України,Deputy Chairman of the State border Service of Ukraine,,,,Deputy Chairman of the State Border Guard Service of Ukraine,
